game,battle_name,num_of_games,agent1_name,round_number,agent1_mean_action_duration_sum,agent1_mean_accumulated_reward_sum,agent2_name,agent2_mean_action_duration_sum,agent2_mean_accumulated_reward_sum,mean_run_duration
TicTacToe,Random_VS_Random,100,Random,0,4.792213439941406e-05,0.0,Random,3.0517578125e-05,-1.0,7.843971252441406e-05
TicTacToe,Random_VS_Random,100,Random,1,2.9087066650390625e-05,0.0,Random,1.8835067749023438e-05,-2.0,0.00012636184692382812
TicTacToe,Random_VS_Random,100,Random,2,3.0994415283203125e-05,1.0,Random,2.5987625122070312e-05,-2.0,0.00018334388732910156
TicTacToe,Random_VS_Random,100,Random,3,2.47955322265625e-05,2.0,Random,1.8835067749023438e-05,-2.0,0.0002269744873046875
TicTacToe,Random_VS_Random,100,Random,4,1.8358230590820312e-05,3.0,Random,1.5974044799804688e-05,-2.0,0.0002613067626953125
TicTacToe,Random_VS_Random,100,Random,5,1.4543533325195312e-05,3.0,Random,1.4066696166992188e-05,-3.0,0.0002899169921875
TicTacToe,Random_VS_Random,100,Random,6,1.9073486328125e-05,4.0,Random,1.4543533325195312e-05,-3.0,0.0003235340118408203
TicTacToe,Random_VS_Random,100,Random,7,2.0503997802734375e-05,4.0,Random,1.9788742065429688e-05,-4.0,0.0003638267517089844
TicTacToe,Random_VS_Random,100,Random,8,2.384185791015625e-05,5.0,Random,2.002716064453125e-05,-4.0,0.0004076957702636719
TicTacToe,Random_VS_Random,100,Random,9,2.5033950805664062e-05,5.0,Random,1.9550323486328125e-05,-4.0,0.00045228004455566406
TicTacToe,Random_VS_Random,100,Random,10,3.5762786865234375e-05,6.0,Random,1.8835067749023438e-05,-4.0,0.0005068778991699219
TicTacToe,Random_VS_Random,100,Random,11,1.2636184692382812e-05,7.0,Random,1.0251998901367188e-05,-4.0,0.0005297660827636719
TicTacToe,Random_VS_Random,100,Random,12,2.0265579223632812e-05,7.0,Random,1.3589859008789062e-05,-5.0,0.0005636215209960938
TicTacToe,Random_VS_Random,100,Random,13,1.9073486328125e-05,7.0,Random,1.5735626220703125e-05,-6.0,0.0005984306335449219
TicTacToe,Random_VS_Random,100,Random,14,1.4543533325195312e-05,7.0,Random,1.1682510375976562e-05,-7.0,0.0006246566772460938
TicTacToe,Random_VS_Random,100,Random,15,1.5497207641601562e-05,8.0,Random,1.2159347534179688e-05,-7.0,0.000652313232421875
TicTacToe,Random_VS_Random,100,Random,16,1.5974044799804688e-05,9.0,Random,1.0967254638671875e-05,-7.0,0.0006792545318603516
TicTacToe,Random_VS_Random,100,Random,17,2.2172927856445312e-05,10.0,Random,1.7404556274414062e-05,-7.0,0.0007188320159912109
TicTacToe,Random_VS_Random,100,Random,18,1.4543533325195312e-05,11.0,Random,1.1682510375976562e-05,-7.0,0.0007450580596923828
TicTacToe,Random_VS_Random,100,Random,19,1.3113021850585938e-05,11.0,Random,1.2159347534179688e-05,-8.0,0.0007703304290771484
TicTacToe,Random_VS_Random,100,Random,20,1.4781951904296875e-05,12.0,Random,9.775161743164062e-06,-8.0,0.0007948875427246094
TicTacToe,Random_VS_Random,100,Random,21,1.3589859008789062e-05,13.0,Random,7.867813110351562e-06,-8.0,0.00081634521484375
TicTacToe,Random_VS_Random,100,Random,22,1.6927719116210938e-05,13.0,Random,1.6689300537109375e-05,-9.0,0.0008499622344970703
TicTacToe,Random_VS_Random,100,Random,23,1.8358230590820312e-05,13.0,Random,1.7881393432617188e-05,-10.0,0.0008862018585205078
TicTacToe,Random_VS_Random,100,Random,24,1.2159347534179688e-05,14.0,Random,9.059906005859375e-06,-10.0,0.0009074211120605469
TicTacToe,Random_VS_Random,100,Random,25,1.7404556274414062e-05,14.0,Random,1.5974044799804688e-05,-11.0,0.0009407997131347656
TicTacToe,Random_VS_Random,100,Random,26,1.6927719116210938e-05,14.0,Random,1.7881393432617188e-05,-12.0,0.0009756088256835938
TicTacToe,Random_VS_Random,100,Random,27,1.2159347534179688e-05,15.0,Random,8.106231689453125e-06,-12.0,0.0009958744049072266
TicTacToe,Random_VS_Random,100,Random,28,2.09808349609375e-05,16.0,Random,1.811981201171875e-05,-12.0,0.0010349750518798828
TicTacToe,Random_VS_Random,100,Random,29,2.0742416381835938e-05,17.0,Random,1.7881393432617188e-05,-12.0,0.001073598861694336
TicTacToe,Random_VS_Random,100,Random,30,1.6450881958007812e-05,18.0,Random,1.1682510375976562e-05,-12.0,0.0011017322540283203
TicTacToe,Random_VS_Random,100,Random,31,2.2649765014648438e-05,18.0,Random,1.5735626220703125e-05,-12.0,0.0011401176452636719
TicTacToe,Random_VS_Random,100,Random,32,1.2874603271484375e-05,18.0,Random,1.1682510375976562e-05,-13.0,0.0011646747589111328
TicTacToe,Random_VS_Random,100,Random,33,1.621246337890625e-05,19.0,Random,1.1920928955078125e-05,-13.0,0.0011928081512451172
TicTacToe,Random_VS_Random,100,Random,34,1.6689300537109375e-05,20.0,Random,1.2874603271484375e-05,-13.0,0.001222372055053711
TicTacToe,Random_VS_Random,100,Random,35,2.1219253540039062e-05,20.0,Random,1.5735626220703125e-05,-13.0,0.0012593269348144531
TicTacToe,Random_VS_Random,100,Random,36,1.621246337890625e-05,20.0,Random,1.7642974853515625e-05,-14.0,0.001293182373046875
TicTacToe,Random_VS_Random,100,Random,37,1.3589859008789062e-05,21.0,Random,7.867813110351562e-06,-14.0,0.0013146400451660156
TicTacToe,Random_VS_Random,100,Random,38,2.1219253540039062e-05,22.0,Random,1.6927719116210938e-05,-14.0,0.0013527870178222656
TicTacToe,Random_VS_Random,100,Random,39,2.0503997802734375e-05,23.0,Random,1.71661376953125e-05,-14.0,0.0013904571533203125
TicTacToe,Random_VS_Random,100,Random,40,1.5735626220703125e-05,23.0,Random,1.52587890625e-05,-15.0,0.0014214515686035156
TicTacToe,Random_VS_Random,100,Random,41,1.621246337890625e-05,23.0,Random,1.6689300537109375e-05,-16.0,0.0014543533325195312
TicTacToe,Random_VS_Random,100,Random,42,1.5974044799804688e-05,24.0,Random,1.1205673217773438e-05,-16.0,0.0014815330505371094
TicTacToe,Random_VS_Random,100,Random,43,2.002716064453125e-05,25.0,Random,1.5974044799804688e-05,-16.0,0.0015175342559814453
TicTacToe,Random_VS_Random,100,Random,44,1.7881393432617188e-05,26.0,Random,1.1920928955078125e-05,-16.0,0.0015473365783691406
TicTacToe,Random_VS_Random,100,Random,45,1.6450881958007812e-05,26.0,Random,1.5974044799804688e-05,-17.0,0.0015797615051269531
TicTacToe,Random_VS_Random,100,Random,46,1.3113021850585938e-05,26.0,Random,1.2874603271484375e-05,-18.0,0.0016057491302490234
TicTacToe,Random_VS_Random,100,Random,47,2.0503997802734375e-05,27.0,Random,1.621246337890625e-05,-18.0,0.001642465591430664
TicTacToe,Random_VS_Random,100,Random,48,1.6689300537109375e-05,28.0,Random,1.2874603271484375e-05,-18.0,0.0016720294952392578
TicTacToe,Random_VS_Random,100,Random,49,2.0503997802734375e-05,29.0,Random,1.5735626220703125e-05,-18.0,0.0017082691192626953
TicTacToe,Random_VS_Random,100,Random,50,1.8835067749023438e-05,30.0,Random,1.430511474609375e-05,-18.0,0.0017414093017578125
TicTacToe,Random_VS_Random,100,Random,51,1.1920928955078125e-05,31.0,Random,8.106231689453125e-06,-18.0,0.0017614364624023438
TicTacToe,Random_VS_Random,100,Random,52,1.9788742065429688e-05,32.0,Random,1.6450881958007812e-05,-18.0,0.0017976760864257812
TicTacToe,Random_VS_Random,100,Random,53,1.5974044799804688e-05,33.0,Random,1.1682510375976562e-05,-18.0,0.0018253326416015625
TicTacToe,Random_VS_Random,100,Random,54,1.5974044799804688e-05,34.0,Random,1.2874603271484375e-05,-18.0,0.0018541812896728516
TicTacToe,Random_VS_Random,100,Random,55,2.1457672119140625e-05,35.0,Random,1.5974044799804688e-05,-18.0,0.0018916130065917969
TicTacToe,Random_VS_Random,100,Random,56,1.8835067749023438e-05,36.0,Random,1.4781951904296875e-05,-18.0,0.0019252300262451172
TicTacToe,Random_VS_Random,100,Random,57,2.5033950805664062e-05,37.0,Random,1.5974044799804688e-05,-18.0,0.001966238021850586
TicTacToe,Random_VS_Random,100,Random,58,3.0994415283203125e-05,38.0,Random,1.811981201171875e-05,-18.0,0.002015352249145508
TicTacToe,Random_VS_Random,100,Random,59,2.9325485229492188e-05,38.0,Random,2.6702880859375e-05,-19.0,0.002071380615234375
TicTacToe,Random_VS_Random,100,Random,60,2.193450927734375e-05,39.0,Random,1.5020370483398438e-05,-19.0,0.002108335494995117
TicTacToe,Random_VS_Random,100,Random,61,4.076957702636719e-05,40.0,Random,3.075599670410156e-05,-19.0,0.002179861068725586
TicTacToe,Random_VS_Random,100,Random,62,4.839897155761719e-05,41.0,Random,3.0517578125e-05,-19.0,0.002258777618408203
TicTacToe,Random_VS_Random,100,Random,63,2.0742416381835938e-05,41.0,Random,2.1219253540039062e-05,-20.0,0.002300739288330078
TicTacToe,Random_VS_Random,100,Random,64,2.002716064453125e-05,42.0,Random,1.5020370483398438e-05,-20.0,0.002335786819458008
TicTacToe,Random_VS_Random,100,Random,65,2.3603439331054688e-05,42.0,Random,2.384185791015625e-05,-21.0,0.0023832321166992188
TicTacToe,Random_VS_Random,100,Random,66,3.218650817871094e-05,43.0,Random,5.1021575927734375e-05,-21.0,0.002466440200805664
TicTacToe,Random_VS_Random,100,Random,67,2.9802322387695312e-05,44.0,Random,2.288818359375e-05,-21.0,0.0025191307067871094
TicTacToe,Random_VS_Random,100,Random,68,3.695487976074219e-05,44.0,Random,3.337860107421875e-05,-21.0,0.0025894641876220703
TicTacToe,Random_VS_Random,100,Random,69,2.2649765014648438e-05,45.0,Random,1.621246337890625e-05,-21.0,0.002628326416015625
TicTacToe,Random_VS_Random,100,Random,70,2.6702880859375e-05,45.0,Random,2.384185791015625e-05,-22.0,0.0026788711547851562
TicTacToe,Random_VS_Random,100,Random,71,1.5020370483398438e-05,46.0,Random,8.821487426757812e-06,-22.0,0.0027027130126953125
TicTacToe,Random_VS_Random,100,Random,72,2.3365020751953125e-05,47.0,Random,1.6927719116210938e-05,-22.0,0.0027430057525634766
TicTacToe,Random_VS_Random,100,Random,73,1.33514404296875e-05,48.0,Random,7.867813110351562e-06,-22.0,0.0027642250061035156
TicTacToe,Random_VS_Random,100,Random,74,2.1219253540039062e-05,48.0,Random,1.5974044799804688e-05,-22.0,0.0028014183044433594
TicTacToe,Random_VS_Random,100,Random,75,1.6927719116210938e-05,49.0,Random,1.1920928955078125e-05,-22.0,0.0028302669525146484
TicTacToe,Random_VS_Random,100,Random,76,1.2159347534179688e-05,50.0,Random,7.867813110351562e-06,-22.0,0.0028502941131591797
TicTacToe,Random_VS_Random,100,Random,77,2.4318695068359375e-05,51.0,Random,1.811981201171875e-05,-22.0,0.002892732620239258
TicTacToe,Random_VS_Random,100,Random,78,1.2874603271484375e-05,52.0,Random,8.106231689453125e-06,-22.0,0.0029137134552001953
TicTacToe,Random_VS_Random,100,Random,79,2.09808349609375e-05,53.0,Random,1.71661376953125e-05,-22.0,0.0029518604278564453
TicTacToe,Random_VS_Random,100,Random,80,1.5020370483398438e-05,54.0,Random,1.2159347534179688e-05,-22.0,0.0029790401458740234
TicTacToe,Random_VS_Random,100,Random,81,1.1920928955078125e-05,54.0,Random,1.2159347534179688e-05,-23.0,0.0030031204223632812
TicTacToe,Random_VS_Random,100,Random,82,2.2411346435546875e-05,55.0,Random,1.5020370483398438e-05,-23.0,0.0030405521392822266
TicTacToe,Random_VS_Random,100,Random,83,2.0265579223632812e-05,55.0,Random,1.5974044799804688e-05,-23.0,0.003076791763305664
TicTacToe,Random_VS_Random,100,Random,84,1.7404556274414062e-05,55.0,Random,1.621246337890625e-05,-24.0,0.0031104087829589844
TicTacToe,Random_VS_Random,100,Random,85,1.1920928955078125e-05,55.0,Random,1.2159347534179688e-05,-25.0,0.003134489059448242
TicTacToe,Random_VS_Random,100,Random,86,1.5974044799804688e-05,56.0,Random,1.1920928955078125e-05,-25.0,0.003162384033203125
TicTacToe,Random_VS_Random,100,Random,87,1.621246337890625e-05,57.0,Random,1.2159347534179688e-05,-25.0,0.003190755844116211
TicTacToe,Random_VS_Random,100,Random,88,1.6927719116210938e-05,57.0,Random,1.6689300537109375e-05,-26.0,0.0032243728637695312
TicTacToe,Random_VS_Random,100,Random,89,2.1219253540039062e-05,58.0,Random,1.621246337890625e-05,-26.0,0.0032618045806884766
TicTacToe,Random_VS_Random,100,Random,90,1.8835067749023438e-05,59.0,Random,1.52587890625e-05,-26.0,0.0032958984375
TicTacToe,Random_VS_Random,100,Random,91,1.7881393432617188e-05,60.0,Random,1.5974044799804688e-05,-26.0,0.003329753875732422
TicTacToe,Random_VS_Random,100,Random,92,1.5735626220703125e-05,61.0,Random,1.2159347534179688e-05,-26.0,0.0033576488494873047
TicTacToe,Random_VS_Random,100,Random,93,1.9788742065429688e-05,62.0,Random,1.7642974853515625e-05,-26.0,0.00339508056640625
TicTacToe,Random_VS_Random,100,Random,94,2.09808349609375e-05,62.0,Random,1.5020370483398438e-05,-26.0,0.003431081771850586
TicTacToe,Random_VS_Random,100,Random,95,2.0742416381835938e-05,63.0,Random,1.621246337890625e-05,-26.0,0.003468036651611328
TicTacToe,Random_VS_Random,100,Random,96,2.002716064453125e-05,64.0,Random,1.5735626220703125e-05,-26.0,0.0035037994384765625
TicTacToe,Random_VS_Random,100,Random,97,2.0503997802734375e-05,65.0,Random,1.71661376953125e-05,-26.0,0.0035414695739746094
TicTacToe,Random_VS_Random,100,Random,98,2.002716064453125e-05,65.0,Random,1.6927719116210938e-05,-27.0,0.0035784244537353516
TicTacToe,Random_VS_Random,100,Random,99,1.6450881958007812e-05,66.0,Random,1.1920928955078125e-05,-27.0,0.0036067962646484375
